title,startYear,runtimeMinutes,genres,averageRating,numVotes,region,language,tconst,decade
Todd Lucas: Singer/Songwriter,2014,88,"Comedy,Music,Musical",7.1,62.0,US,en,tt2309762,2010
The Hobbit: There and Back Again,2014,144,"Adventure,Fantasy",7.4,557042.0,US,en,tt2310332,2010
East Hastings Pharmacy,2012,47,Drama,8.2,30.0,CA,en,tt2299417,2010
Randy Fabert's Psycho Killer,2012,95,Horror,7.4,43.0,US,en,tt2301095,2010
I Got Somethin' to Tell You,2013,72,"Comedy,Documentary",7.9,341.0,US,en,tt2319863,2010
The Package 3,2012,60,"Action,Animation,Crime",7.4,46.0,GB,en,tt2320718,2010
Hills Green,2013,70,Drama,7.3,11.0,CA,en,tt2319853,2010
The Devil's Music,2012,77,"Fantasy,Horror",7.0,19.0,CA,en,tt2314348,2010
Fumio Demura: The Movie,2015,80,"Action,Biography,Documentary",7.1,824.0,US,en,tt2313306,2010
Softballs,2012,89,"Comedy,Sport",8.0,29.0,CA,en,tt2279538,2010
Le bleu est une couleur chaude,2013,180,"Drama,Romance",7.7,159619.0,FR,fr,tt2278871,2010
Finding Nemo 2,2016,97,"Adventure,Animation,Comedy",7.2,293961.0,US,en,tt2277860,2010
Jiggly Baby 3: The Curse of Adramelech,2012,51,Horror,7.2,24.0,US,en,tt2278686,2010
No Joke,2013,109,"Comedy,Documentary",7.5,42.0,CA,en,tt2278120,2010
L'hôtel Grand Budapest,2014,99,"Adventure,Comedy,Crime",8.1,861357.0,CA,en,tt2278388,2010
Assorted Atrocities: The Exodus Documentary,2010,107,\N,7.0,16.0,US,en,tt2281410,2010
Still Here,2012,92,Drama,7.1,8.0,CA,en,tt2275650,2010
Le météore,2013,85,Drama,7.0,235.0,CA,en,tt2274358,2010
Too Tall,2014,85,Comedy,7.9,26.0,CA,en,tt2295560,2010
Frozen 3D,2013,102,"Adventure,Animation,Comedy",7.4,649008.0,US,en,tt2294629,2010
21 Jump Street 2,2014,112,"Action,Comedy,Crime",7.0,396432.0,US,en,tt2294449,2010
OMG,2012,125,"Comedy,Drama,Fantasy",8.1,63357.0,US,en,tt2283748,2010
